à	à	prép.				false	
abandon	abandon	n.	m.			false	
abandonner	abandonner	v.				false	
abîme	abîme	n.	m.			false	
abime	abime	n.	m.			true	
aboiement	aboiement	n.	m.			false	
abondance	abondance	n.	f.			false	
abord	abord	n.	m.			false	
abri	abri	n.	m.			false	
absence	absence	n.	f.			false	
absent	absent	adj.				false	
absolument	absolument	adv.				false	
accent	accent	n.	m.			false	
accepter	accepter	v.				false	
accès	accès	n.	m.			false	
accident	accident	n.	m.			false	
acclamation	acclamation	n.	f.			false	
accompagner	accompagner	v.				false	
accomplir	accomplir	v.				false	
accord	accord	n.	m.			false	
accordéon	accordéon	n.	m.			false	
accorder	accorder	v.				false	
accrocher	accrocher	v.				false	
accueil	accueil	n.	m.			false	
accueillir	accueillir	v.				false	
accumulation	accumulation	n.	f.			false	
accusation	accusation	n.	f.			false	
accusé	accusé	n.	m.			false	
accuser	accuser	v.				false	
acharnement	acharnement	n.	m.			false	
achat	achat	n.	m.			false	
acheminement	acheminement	n.	m.			false	
acheter	acheter	v.				false	
acheteur	acheteur	n.	m.			false	
achever	achever	v.				false	
acier	acier	n.	m.			false	
acné	acné	n.	f.			false	
à côté de	à côté de	prép.				false	
acoustique	acoustique	n.	f.			false	
acquis	acquis	n.	m.			false	
acquisition	acquisition	n.	f.			false	
acrobate	acrobate	n.	m.			false	
acrobatie	acrobatie	n.	f.			false	
acte	acte	n.	m.			false	
acteur	acteur	n.	m.			false	
action	action	n.	f.			false	
activité	activité	n.	f.			false	
actualité	actualité	n.	f.			false	
adaptation	adaptation	n.	f.			false	
addition	addition	n.	f.			false	
adepte	adepte	n.	m.			false	
adhésion	adhésion	n.	f.			false	
adieu	adieu	n.	m.			false	
adjectif	adjectif	n.	m.			false	
admettre	admettre	v.				false	
administrateur	administrateur	n.	m.			false	
administration	administration	n.	f.			false	
admirateur	admirateur	n.	m.			false	
admiration	admiration	n.	f.			false	
admirer	admirer	v.				false	
admission	admission	n.	f.			false	
adolescence	adolescence	n.	f.			false	
adolescent	adolescent	n.	m.			false	
adopter	adopter	v.				false	
adoption	adoption	n.	f.			false	
adoration	adoration	n.	f.			false	
adorer	adorer	v.				false	
adresse	adresse	n.	f.			false	
adresser	adresser	v.				false	
à droite	à droite	adv.				false	
adulte	adulte	n.	m.			false	
adversaire	adversaire	n.	m.			false	
adversité	adversité	n.	f.			false	
aérogare	aérogare	n.	f.			false	
aéroport	aéroport	n.	m.			false	
affaiblissement	affaiblissement	n.	m.			false	
affaire	affaire	n.	f.			false	
affection	affection	n.	f.			false	
affiche	affiche	n.	f.			false	
affinité	affinité	n.	f.			false	
affirmation	affirmation	n.	f.			false	
affirmer	affirmer	v.				false	
affluence	affluence	n.	f.			false	
afflux	afflux	n.	m.			false	
affolement	affolement	n.	m.			false	
affreux	affreux	adj.				false	
affront	affront	n.	m.			false	
affrontement	affrontement	n.	m.			false	
afin de	afin de	prép.				false	
afin que	afin que	conj.				false	
à gauche	à gauche	adv.				false	
âgé	âgé	adj.				false	
âge	âge	n.	m.			false	
agence	agence	n.	f.			false	
agenda	agenda	n.	m.			false	
agent	agent	n.	m.			false	
agglomération	agglomération	n.	f.			false	
aggravation	aggravation	n.	f.			false	
agilité	agilité	n.	f.			false	
agir	agir	v.				false	
agissement	agissement	n.	m.			false	
agitation	agitation	n.	f.			false	
agiter	agiter	v.				false	
agneau	agneau	n.	m.			false	
agonie	agonie	n.	f.			false	
agréable	agréable	adj.				false	
agression	agression	n.	f.			false	
agressivité	agressivité	n.	f.			false	
agriculture	agriculture	n.	f.			false	
aide	aide	n.	f.			false	
aider	aider	v.				false	
aïe	aïe	interj.				false	
aigle	aigle	n.	m.			false	
aiguille	aiguille	n.	f.			false	
aile	aile	n.	f.			false	
ailleurs	ailleurs	adv.				false	
aimable	aimable	adj.				false	
aimer	aimer	v.				false	
ainsi	ainsi	adv.				false	
air	air	n.	m.			false	
aisance	aisance	n.	f.			false	
ajout	ajout	n.	m.			false	
ajouter	ajouter	v.				false	
ajustement	ajustement	n.	m.			false	
alarme	alarme	n.	f.			false	
album	album	n.	m.			false	
alcool	alcool	n.	m.			false	
alerte	alerte	n.	f.			false	
alibi	alibi	n.	m.			false	
alimentaire	alimentaire	adj.				false	
aliment	aliment	n.	m.			false	
alimentation	alimentation	n.	f.			false	
allée	allée	n.	f.			false	
aller	aller	v.				false	
allergie	allergie	n.	f.			false	
alliance	alliance	n.	f.			false	
allié	allié	n.	m.			false	
allocation	allocation	n.	f.			false	
allumer	allumer	v.				false	
allumette	allumette	n.	f.			false	
allure	allure	n.	f.			false	
allusion	allusion	n.	f.			false	
alors	alors	adv.				false	
alphabet	alphabet	n.	m.			false	
alpinisme	alpinisme	n.	m.			false	
alpiniste	alpiniste	n.	m.			false	
altercation	altercation	n.	f.			false	
alternative	alternative	n.	f.			false	
altitude	altitude	n.	f.			false	
amabilité	amabilité	n.	f.			false	
amaigrissement	amaigrissement	n.	m.			false	
amarre	amarre	n.	f.			false	
amas	amas	n.	m.			false	
amateur	amateur	n.	m.			false	
ambassadeur	ambassadeur	n.	m.			false	
ambiance	ambiance	n.	f.			false	
ambiguïté	ambiguïté	n.	f.			false	
ambition	ambition	n.	f.			false	
ambulance	ambulance	n.	f.			false	
âme	âme	n.	f.			false	
amélioration	amélioration	n.	f.			false	
améliorer	améliorer	v.				false	
amende	amende	n.	f.			false	
amener	amener	v.				false	
amertume	amertume	n.	f.			false	
ameublement	ameublement	n.	m.			false	
ami	ami	n.	m.			false	
amitié	amitié	n.	f.			false	
amnésie	amnésie	n.	f.			false	
amour	amour	n.	m.			false	
amoureux	amoureux	adj.				false	
amour-propre	amour-propre	n.	m.			false	
ampleur	ampleur	n.	f.			false	
amplificateur	amplificateur	n.	m.			false	
amplitude	amplitude	n.	f.			false	
ampoule	ampoule	n.	f.			false	
amusant	amusant	adj.				false	
amusement	amusement	n.	m.			false	
amuser	amuser	v.				false	
anachronisme	anachronisme	n.	m.			false	
analogie	analogie	n.	f.			false	
analphabétisme	analphabétisme	n.	m.			false	
analyse	analyse	n.	f.			false	
an	an	n.	m.			false	
anarchie	anarchie	n.	f.			false	
ancêtre	ancêtre	n.	m.			false	
ancien	ancien	adj.				false	
ancre	ancre	n.	f.			false	
anecdote	anecdote	n.	f.			false	
ange	ange	n.	m.			false	
anglais	anglais	adj.				false	
anglais	anglais	n.	m.			false	
angle	angle	n.	m.			false	
anglicisme	anglicisme	n.	m.			false	
angoisse	angoisse	n.	f.			false	
animal	animal	n.	m.			false	
animateur	animateur	n.	m.			false	
animation	animation	n.	f.			false	
animosité	animosité	n.	f.			false	
anneau	anneau	n.	m.			false	
année	année	n.	f.			false	
anniversaire	anniversaire	n.	m.			false	
annonce	annonce	n.	f.			false	
annoncer	annoncer	v.				false	
anomalie	anomalie	n.	f.			false	
anonymat	anonymat	n.	m.			false	
anonyme	anonyme	adj.				false	
anse	anse	n.	f.			false	
antécédent	antécédent	n.	m.			false	
antidote	antidote	n.	m.			false	
antipathie	antipathie	n.	f.			false	
antiquité	antiquité	n.	f.			false	
anxiété	anxiété	n.	f.			false	
août	août	n.	m.			false	
aout	aout	n.	m.			true	
apaisement	apaisement	n.	m.			false	
apathie	apathie	n.	f.			false	
apercevoir	apercevoir	v.				false	
apercevoir, s'	apercevoir, s'	v.				false	
aperçu	aperçu	n.	m.			false	
à peu près	à peu près	adv.				false	
aplomb	aplomb	n.	m.			false	
apogée	apogée	n.	f.			false	
apparaître	apparaître	v.				false	
apparaitre	apparaitre	v.				true	
appareil	appareil	n.	m.			false	
apparence	apparence	n.	f.			false	
